,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,0.5483091274286178,-0.6706120309835577,0.07913281139550726,-0.6443576086073782,0.5283033205064689,-0.30538058292174874,0.12254570405669407,-0.23954871076211037,-0.18515796362016168,0.4149358996791272
1,-1.5569784241523579,-2.17090491249807,-1.1564383104859597,-1.903967117456974,-1.0581517590695093,-1.807778393424762,-1.2218208581370174,-1.4350314738171401,-2.00954854461168,-1.371814692878877
2,-1.7612073253592297,-2.3522095045268485,-2.037925575761553,-2.234335203033092,-2.128209222552462,-2.388112462499431,-2.231116757517035,-1.66760986845233,-2.6100803990109656,-1.8973853247723789
3,-2.1266055672406656,-2.7984821205981234,-2.9539551125429577,-2.371060151398241,-2.74292349412713,-2.7614018161989833,-2.9566999073226503,-2.3651619006630873,-2.885815203139157,-2.0974545836089256
4,-2.3831838830046044,-3.409761220157977,-3.3921013287941006,-3.0809468522133128,-3.086862559665918,-3.161342353572609,-3.747995352653701,-3.2593162255702133,-3.1848688839114785,-2.734984427092978
5,-2.9179146829210794,-3.829512813467839,-3.7989281809076094,-3.320888257575666,-3.502901132923473,-3.5916492253458046,-3.915403744096042,-3.6364728493102723,-3.472714183026506,-3.0373315885370915
6,-3.4467940198999263,-4.005580299758354,-3.981353711290935,-3.6854302862114263,-3.6623140842385995,-3.85595970191645,-4.17531201097094,-3.9377223202167313,-3.6531216213230353,-3.5329275144014622
7,-3.682055167558117,-4.238479413268137,-4.053681238021868,-3.783411861601,-3.8872253862602344,-4.031836576618851,-4.481251255793711,-4.053091467533774,-3.8728043839807746,-3.839431232590926
8,-3.855559700537011,-4.383788083819951,-4.152248022690873,-3.9495057905066626,-4.154500689250939,-4.094866645023568,-4.669355175865486,-4.14023035985261,-4.040573447524495,-4.075937132703172
9,-4.187764427792462,-4.5839769098911605,-4.336129744041002,-4.0814871097206,-4.29133979235155,-4.2769172966552595,-4.808489243051755,-4.24310069821501,-4.1279647722627955,-4.352877826625833
10,-4.344300124398422,-4.6846680698154435,-4.3813833408902205,-4.333995382428358,-4.429131509208327,-4.3797593799481085,-5.003720267167005,-4.302963848108389,-4.243848843276292,-4.534371400762907
11,-4.488599548541683,-4.735001826094454,-4.4913067254971715,-4.507238583341993,-4.470990919412671,-4.432389154046356,-5.089348454420401,-4.334064695343658,-4.322288458824414,-4.830181216309721
12,-4.607450597586348,-4.78841167992785,-4.584296397851346,-4.658138777960802,-4.531816058874727,-4.470297005896013,-5.2213997437167885,-4.405879031920614,-4.40137080895671,-4.989495420476676
