,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,"IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
"
1,"XIIY	(1+0j)
","IIXY	(1+0j)
","XXYI	(1+0j)
","XIXY	(1+0j)
","IIYI	(1+0j)
","XIIY	(1+0j)
","XXXY	(1+0j)
","XXYI	(1+0j)
","IXIY	(1+0j)
","XIYI	(1+0j)
"
2,"ZXIX	(1+0j)
","YIXY	(1+0j)
","IIXX	(1+0j)
","XYZI	(1+0j)
","XYII	(1+0j)
","IXIY	(1+0j)
","IZXZ	(1+0j)
","IXZX	(1+0j)
","XXIY	(1+0j)
","YXYY	(1+0j)
"
3,"ZZII	(1+0j)
","ZIZX	(1+0j)
","YIYY	(1+0j)
","XYYI	(1+0j)
","IYXX	(1+0j)
","YYXZ	(1+0j)
","XXIY	(1+0j)
","IXYY	(1+0j)
","XZXI	(1+0j)
","IIYI	(1+0j)
"
4,"IIIY	(1+0j)
","YYZY	(1+0j)
","XYZI	(1+0j)
","IZZI	(1+0j)
","YXIY	(1+0j)
","ZXYI	(1+0j)
","XZYY	(1+0j)
","YXZX	(1+0j)
","XYII	(1+0j)
","IIYX	(1+0j)
"
5,"YIXI	(1+0j)
","ZXZI	(1+0j)
","ZXZI	(1+0j)
","YIII	(1+0j)
","YIZZ	(1+0j)
","YYZZ	(1+0j)
","YXXZ	(1+0j)
","IZIX	(1+0j)
","IIXZ	(1+0j)
","YZZI	(1+0j)
"
6,"IXZZ	(1+0j)
","XXZZ	(1+0j)
","IIIY	(1+0j)
","IXYZ	(1+0j)
","YZIY	(1+0j)
","XXXX	(1+0j)
","ZIYY	(1+0j)
","YXYY	(1+0j)
","YIYY	(1+0j)
","IXIZ	(1+0j)
"
7,"ZXYZ	(1+0j)
","ZIZI	(1+0j)
","IXZI	(1+0j)
","IIYY	(1+0j)
","YZYI	(1+0j)
","ZXXI	(1+0j)
","XIYZ	(1+0j)
","YZIX	(1+0j)
","XZIY	(1+0j)
","ZYXI	(1+0j)
"
8,"IZIX	(1+0j)
","ZZIY	(1+0j)
","XIIX	(1+0j)
","XYYZ	(1+0j)
","XZZY	(1+0j)
","YYYX	(1+0j)
","XZIY	(1+0j)
","XXYI	(1+0j)
","IYYI	(1+0j)
","IZZI	(1+0j)
"
9,"IZYY	(1+0j)
","YYIX	(1+0j)
","IYYY	(1+0j)
","IZZX	(1+0j)
","XIIY	(1+0j)
","YXIZ	(1+0j)
","IYZX	(1+0j)
","IIXY	(1+0j)
","IYYY	(1+0j)
","IIYX	(1+0j)
"
10,"ZYYY	(1+0j)
","ZXYI	(1+0j)
","YYZZ	(1+0j)
","IYII	(1+0j)
","XXZI	(1+0j)
","ZIYY	(1+0j)
","XZIX	(1+0j)
","XZIX	(1+0j)
","XXIY	(1+0j)
","IYIZ	(1+0j)
"
11,"XIXI	(1+0j)
","ZXIY	(1+0j)
","ZZII	(1+0j)
","ZYXY	(1+0j)
","XZZX	(1+0j)
","YZXZ	(1+0j)
","ZZXY	(1+0j)
","IXIX	(1+0j)
","IIYZ	(1+0j)
","IYIX	(1+0j)
"
12,"ZIYY	(1+0j)
","IXZX	(1+0j)
","YXYZ	(1+0j)
","XZXY	(1+0j)
","YZZY	(1+0j)
","ZYIY	(1+0j)
","YZZY	(1+0j)
","IYII	(1+0j)
","ZXXX	(1+0j)
","ZXZX	(1+0j)
"
