,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265]
1,[3.14159265 2.27896938],[-2.352386    2.44334868],[-1.2845565  -0.68331581],[ 0.57571231 -0.64579338],[ 3.14159265 -0.75465414],[ 1.51499471 -0.80650105],[0.60277525 2.33221375],[1.8997961  2.46647306],[ 2.92639743 -0.82925293],[ 0.3201524  -0.77116846]
2,[-1.05533587 -0.87196828  2.86975517],[-2.39577096 -0.69340035  2.92120114],[ 2.72938002 -0.82128998  0.86689401],[-1.46416716 -0.53740212 -0.31076375],[ 0.85454401 -0.84369511  0.78614215],[-1.09417258  2.07936698 -2.71483078],[1.25574169 2.23656512 2.37989847],[ 0.64806781  2.48645589 -0.3331671 ],[-0.42975788 -1.06281545  0.42984858],[-1.18815044 -0.65468     0.56364521]
3,[ 0.87029082 -2.23767536 -2.6505107  -1.18652315],[ 2.40037202  2.35287316 -0.53443657  2.65881112],[ 2.32995566  2.05076282 -2.15575083  0.75522478],[-1.46416716 -0.50897195 -0.3162634   0.18067689],[-1.32573113 -0.9210039  -2.12252415  2.54062401],[ 0.79628567 -1.0856725   0.41706032 -0.39063675],[ 1.66186427  0.44641094 -2.26815973  2.02648324],[-2.71372273  1.62130648  2.17146705  2.21918778],[-2.74060523  2.05004318  0.45502382 -0.28434646],[-1.5721821   2.43416727  0.52604095 -2.92825073]
4,[ 2.80920315  0.96519424  0.53969285 -1.11733268 -2.87625818],[ 2.40037202  2.36540268 -0.59264066  2.59752985  0.57951683],[ 2.43231322  2.09088648 -2.18229324  0.75147631 -0.44181503],[ 1.64084518  2.65545275  2.78933985 -2.64757624 -2.60618803],[ 2.81619426 -0.92271695 -2.02154532  2.50264915 -2.76589925],[-0.36666962 -1.0220224   0.51955759 -0.42174126 -0.38652327],[1.58169508 0.40796114 0.94912375 2.27811572 2.52180959],[-1.19665636 -1.5043216   2.22185267 -1.24214799 -2.50802235],[-2.74060523  2.12397984  0.4829701  -0.33722765 -0.30137821],[-2.41462993 -0.61328372  1.80900485  1.42115142 -1.22182083]
5,[-0.22734378  0.972759   -2.44939125 -0.90346081  0.23132341 -0.54571225],[-1.93779405  0.88110037 -1.87855381  0.98077791  2.16285731 -1.17271626],[ 2.43231322  2.07864536 -2.19966673  0.72225299 -0.49921584 -0.32142995],[-1.82663305 -2.69184923  0.31415902 -2.67435385 -1.0106098  -0.33465494],[-1.74181156 -2.65858604  2.01202858  0.97398911  1.15516144  1.20047096],[ 0.57980207 -1.03934734 -2.69813852  2.58608386  2.76457626 -2.71585853],[-1.54440544  2.00727482 -0.63951033  0.71503721 -0.60523828  0.22128966],[-1.69445259 -2.96696688 -0.59765413  0.40636448  0.76825319 -1.9180698 ],[ 2.29166806 -2.58406184  2.0577637  -2.10822523 -0.31908423 -1.28875496],[-2.41462993 -0.52987813  1.78913569  1.49951236 -1.31300889  0.33643753]
6,"[ 0.75016456  1.16800437 -2.38116946 -0.76611601 -1.75978497  0.66909048
 -1.11960869]","[-2.67654293 -2.46783061 -2.89516316 -2.1179301  -2.17593747  2.70963495
 -1.79641406]","[-1.84121666 -0.54150034 -0.60128477  0.65795435  1.03283862 -0.35815319
 -1.35602477]","[-1.82663305 -2.64332462  0.47351628 -2.66887216 -0.91385231 -0.43089744
 -0.34526338]","[-1.74181156 -2.68333142  2.00060502  0.94155025  1.08806485  1.18745819
 -0.21964967]","[ 1.26391282 -1.06118431 -2.76021022 -0.62937481  2.75284279 -2.63111284
  2.87585126]","[-0.73183705  1.94868581  2.47032175 -2.39245157 -0.64667631 -2.8837365
  2.83366264]","[ 2.3283221   0.2973547  -2.12754357 -1.18666507  2.25169467 -2.04923155
  1.86196827]","[ 1.73400532  0.50964497  2.63511101 -2.64475427 -1.23850629 -1.317252
  1.33498671]","[-0.72964801 -1.19308434 -2.74486996  0.14282203 -0.31528818  2.70278662
 -2.13799521]"
7,"[-0.17233306 -1.96028637  0.9388148  -0.80359157  0.25367165 -0.74673387
  0.44913624  0.25604742]","[-1.22029535  0.63368734 -0.26039249 -0.42554967 -0.616975   -2.64906831
  0.25853499 -1.83351612]","[-1.84121666 -0.55594743 -0.54828475  0.63499346  1.02527901 -0.36143292
 -1.34677694  0.10547766]","[ 2.57780622 -1.07211037 -2.62338846  1.07976832 -2.22220009  2.67087113
  1.94372918  1.70996477]","[-2.21807237 -2.02729147 -1.95510874  1.04995878 -2.04617715  0.34308412
 -0.30411591 -1.81007328]","[ 0.07415252 -1.08084386 -2.80208453  0.67368317  1.9589352   2.58964653
  0.24669799 -1.31592246]","[-0.31286505  1.95638832 -0.89708753 -0.71684828 -2.18157066  2.85006804
  1.25398965  1.27131015]","[ 2.70849181 -1.31160868  2.1462278   2.0280485  -2.25819315  2.67371251
  0.28293237  0.16293884]","[ 1.31871392  0.5839459   2.5926818   0.53906083  1.88910274 -1.29701237
 -1.82260037  2.87163062]","[ 0.72948352  1.98549252  0.33209235  1.39557166 -0.3651753   2.68314129
 -2.57040792  1.8671778 ]"
8,"[-0.17233306 -1.80497389  1.073873   -0.92844969  0.10375527 -0.93137063
  0.59391961  0.33279358 -0.21817149]","[-1.1147789  -0.97020015  1.79588743 -1.15373405 -0.54038816 -1.04640426
 -1.24022632  2.84890564 -1.74246885]","[-1.48133508  2.62755491 -0.56379484 -2.47612004 -2.11077969  2.78986748
  1.76333004 -3.03059693  0.18776512]","[-2.55348507  2.6167759  -0.51121431 -1.14475229  0.74578102  1.17382299
 -1.97886201 -2.951201   -2.86252357]","[ 2.57116857 -2.82118235  0.35716422  1.98158125 -2.5357016   2.71455681
 -2.80158279  2.76772537 -1.25291418]","[ 0.44593507 -2.62974688 -0.27745017 -0.63939044 -1.97005612 -2.61036761
  1.29329813  0.25382746 -0.10338245]","[ 2.49822954 -1.20868127  2.29805701 -0.70175324  1.04018996  2.7962744
 -1.94078454 -1.82409035  0.2304876 ]","[-2.64544793 -1.29372294  0.55809127 -1.08723726  2.45785564 -2.02298689
 -2.85247937  1.74823796  0.13555685]","[-2.37546924 -2.61185034 -2.18139812  1.03646566 -0.28517454  2.87202786
  1.89645659 -1.87579277 -2.92001915]","[ 0.72948352  2.01735736  0.21142994  1.47257792 -0.37116911  2.73478578
 -2.60370467  1.85078498  0.26224645]"
9,"[-2.68685684  0.18630648 -1.0271555  -2.18677502 -3.10879813  2.46301884
  2.51640936  0.34152284 -2.95554532  1.90071985]","[ 1.08924096  2.47138053 -2.82688496 -0.37974032  2.51077173  0.51464366
 -1.31542012  1.89434998  1.86176419 -1.83795273]","[ 2.62494214  0.40562246 -0.91450995  0.79933951  2.11353141  1.80192564
  2.94158372 -1.48427622 -1.29774404 -2.80255456]","[-2.55348507  2.65031616 -0.49229375 -1.15335926  0.75311275  1.29649874
 -2.01365754 -2.97707    -2.81879216  0.21860685]","[ 0.73902804 -2.75775801 -2.79340849 -1.17566609  0.5943372  -0.44944725
  0.40577869 -0.3561846   1.86936448  0.2171262 ]","[-0.01898413  2.11174759  2.8279864  -0.71468855 -0.43153508 -2.0663879
 -0.29369374 -0.20679943  2.99819035 -1.25397989]","[ 2.77545612  1.91591146  0.92584776  2.26589686 -1.10364263 -1.20068067
  2.72071688 -1.83567338  0.32327098  0.14126902]","[-0.54429098  2.92435638  0.52713218  1.10164201  0.90127392  2.03607821
 -0.22730283  1.35110125  3.00211964 -1.37750626]","[-0.07833669 -1.06220919 -2.21617374 -1.10504496 -1.32074552 -2.91433224
  1.19664582 -0.29216651  0.24777631  0.15804733]","[-2.68843192 -0.4118328  -3.05858035 -1.4487904   1.27617969 -1.14080806
 -2.08845031  2.83954743 -1.93953908  1.25442302]"
