,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,0.5483091274286178,-0.6706120309835577,0.07913281139550726,-0.6443576086073782,0.5283033205064689,-0.30538058292174874,0.12254570405669407,-0.23954871076211037,-0.18515796362016168,0.4149358996791272
1,-1.7118520714905159,-2.17090491249807,-1.6718202593727451,-2.0149682861037013,-1.5968805142069515,-1.8096452742884483,-1.2927635649168214,-2.0082090222961906,-2.00954854461168,-1.6493712937553844
2,-2.533700894325673,-2.648016166248243,-2.4015111538168994,-2.672505532479348,-2.839856095458892,-2.448871692163353,-2.113590579323472,-2.8640803535932347,-2.610080399010967,-2.623470057680389
3,-2.9555313060938415,-3.272055714800072,-3.042249968731384,-3.2462483454200384,-3.1018860537610404,-2.9712667830963895,-3.320082636236112,-3.05151560807692,-2.975655598909753,-3.233726832125296
4,-3.539557078476844,-3.66226508465465,-3.5286762229098056,-3.5196050108482395,-3.5046416270403973,-3.313460323981611,-3.809155431223356,-3.2953780269583555,-3.3132874198179305,-3.806578773648691
5,-3.782684191849657,-4.010562412945981,-3.9943008530782746,-3.7770421324494756,-3.6317441531451764,-3.6244517698663667,-4.245163269946357,-3.496850729235767,-3.4777843839225078,-4.1220807425664585
6,-4.009444556919864,-4.225595174331737,-4.2361485420642415,-3.940281583375281,-3.827932590956021,-3.9998111408311594,-4.400759317334471,-3.6500826072939723,-3.7271749043074367,-4.4326261868602534
7,-4.180480538961529,-4.380589255057692,-4.411657740652932,-4.1904550235169085,-3.9691162305605965,-4.134720656761967,-4.578538219382771,-3.942095941617007,-3.9444195250854315,-4.665141218971357
8,-4.3573065033676395,-4.5427845552878985,-4.52994763988399,-4.451844686615602,-4.123252523926076,-4.284714938615466,-4.767095682461189,-4.044780773155261,-4.037290243461643,-4.762920071778569
9,-4.537295253557325,-4.670775800199349,-4.605056352142524,-4.587255477152955,-4.218824777817909,-4.368566187568055,-5.022837829601475,-4.166466892871991,-4.120421546310617,-4.82822965422228
10,-4.636215741048056,-4.766870096037171,-4.663224363913075,-4.669932083092557,-4.27991965278825,-4.436457873827374,-5.1484195684735035,-4.241871296909122,-4.200590403835498,-4.887617178758397
11,-4.72598681353686,-4.8537469027662805,-4.692238451433838,-4.74030533323052,-4.362697552899288,-4.464990111685417,-5.212583293131735,-4.394992379550855,-4.234625754901919,-4.978768264797348
12,-4.800039822958694,-4.899763774249416,-4.730229895728393,-4.782023022168252,-4.430336264042612,-4.5027822306075524,-5.2436720459005155,-4.442879604719856,-4.274440018365417,-5.063056225847616
