,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,"IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
"
1,"IXYI	(1+0j)
","IIXY	(1+0j)
","XXIY	(1+0j)
","YIII	(1+0j)
","IIIY	(1+0j)
","YIII	(1+0j)
","IYII	(1+0j)
","IYII	(1+0j)
","IXIY	(1+0j)
","XXYI	(1+0j)
"
2,"IXII	(1+0j)
","XXXX	(1+0j)
","XYIZ	(1+0j)
","XXXY	(1+0j)
","IXYI	(1+0j)
","XIXY	(1+0j)
","XIIX	(1+0j)
","IIIX	(1+0j)
","XYIX	(1+0j)
","YIZI	(1+0j)
"
3,"XIII	(1+0j)
","IIZY	(1+0j)
","IYXX	(1+0j)
","ZXYZ	(1+0j)
","IZXX	(1+0j)
","XXII	(1+0j)
","ZXYI	(1+0j)
","YIIZ	(1+0j)
","ZYYZ	(1+0j)
","IXIY	(1+0j)
"
4,"YZXY	(1+0j)
","IYXX	(1+0j)
","XIZZ	(1+0j)
","XYIY	(1+0j)
","XIIX	(1+0j)
","IIXI	(1+0j)
","XXXY	(1+0j)
","XIII	(1+0j)
","XZXZ	(1+0j)
","IXYY	(1+0j)
"
5,"YZYY	(1+0j)
","IYYZ	(1+0j)
","YZYZ	(1+0j)
","ZIIX	(1+0j)
","YYZX	(1+0j)
","YYXY	(1+0j)
","YXIZ	(1+0j)
","ZZYY	(1+0j)
","XZXI	(1+0j)
","IYIY	(1+0j)
"
6,"ZIXY	(1+0j)
","IYXZ	(1+0j)
","XXXZ	(1+0j)
","ZZZI	(1+0j)
","ZZIX	(1+0j)
","XIYI	(1+0j)
","YZIZ	(1+0j)
","XZII	(1+0j)
","ZIYX	(1+0j)
","ZIXY	(1+0j)
"
7,"XIIX	(1+0j)
","YIII	(1+0j)
","XXIY	(1+0j)
","YIXY	(1+0j)
","IIXI	(1+0j)
","YXIY	(1+0j)
","YIXY	(1+0j)
","ZYZZ	(1+0j)
","XIIZ	(1+0j)
","XYXI	(1+0j)
"
8,"IXYX	(1+0j)
","YYXZ	(1+0j)
","ZZYI	(1+0j)
","XZYY	(1+0j)
","XYYZ	(1+0j)
","XZYI	(1+0j)
","IZIY	(1+0j)
","ZIXY	(1+0j)
","IYYZ	(1+0j)
","YIYZ	(1+0j)
"
9,"ZZII	(1+0j)
","ZIIZ	(1+0j)
","IYZY	(1+0j)
","YXZZ	(1+0j)
","XXYZ	(1+0j)
","XYIY	(1+0j)
","ZIZI	(1+0j)
","XIXX	(1+0j)
","XZIX	(1+0j)
","XZXX	(1+0j)
"
10,"XXXY	(1+0j)
","ZYZZ	(1+0j)
","ZZII	(1+0j)
","IZXI	(1+0j)
","YIYX	(1+0j)
","YIZZ	(1+0j)
","XZXI	(1+0j)
","IIZY	(1+0j)
","XXXI	(1+0j)
","ZYYX	(1+0j)
"
11,"XIYI	(1+0j)
","YXIX	(1+0j)
","XIXX	(1+0j)
","IZYI	(1+0j)
","YIII	(1+0j)
","XYYX	(1+0j)
","ZYXY	(1+0j)
","YIXY	(1+0j)
","YXXY	(1+0j)
","ZZXY	(1+0j)
"
12,"ZYXI	(1+0j)
","IIYX	(1+0j)
","ZYIY	(1+0j)
","IXIZ	(1+0j)
","ZIXX	(1+0j)
","IXXX	(1+0j)
","IXIX	(1+0j)
","YXXI	(1+0j)
","IIZI	(1+0j)
","YZXI	(1+0j)
"
