,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265]
1,[2.89114018 2.10851485],[1.65027649 2.44334868],[ 1.86922439 -1.00980814],[3.14159265 2.31478112],[ 2.64897819 -0.90738746],[-0.84330658 -0.85925306],[-1.22275194  2.2667848 ],[3.14159265 2.25954453],[-0.41693159  2.31233972],[-1.20498086  2.05694757]
2,[ 2.67392689 -1.01691413  2.52233984],[1.89616706 2.42861483 0.554866  ],[ 0.99446069  2.245839   -2.00711749],[3.14159265 2.30715406 0.82827379],[ 2.36250323  2.00725553 -0.96542756],[-2.79700385  2.15356506  2.30682625],[ 0.71379489  2.26250582 -0.89634157],[ 0.22021188  2.24020735 -2.39930519],[ 2.29603165 -1.06281545 -2.71174406],[ 0.82248379  1.97662932 -0.67066883]
3,[-0.35690335 -0.95247709  2.62595704  2.5549567 ],[ 2.619145   -0.72661667 -2.44668632  2.55729552],[-0.14729539  2.13347706 -2.05494069 -0.60349885],[ 3.14159265  2.31384954  0.87155746 -0.46376924],[ 1.80448316 -1.10206628  2.22573782  0.36802091],[-0.32250178 -1.02884837  1.99476445 -0.51772548],[-2.76042385 -0.7855994  -1.10840698  2.43658969],[-2.97208212 -0.89947334 -2.44195298  0.32586941],[ 2.29603165 -1.13547303 -2.69693298 -0.38497608],[ 0.21246309 -1.10250213  2.4782201  -2.49702378]
4,[-0.35690335 -1.21914993  2.68774892  2.71896409  0.47784774],[-1.26138765  2.44176669  0.69848967  2.41992065  2.65768479],[-2.18782408  2.02972264  1.13600579 -0.61039418  2.76470486],[-1.27160855 -0.8362064   0.86414566  2.67126412  2.79495645],[ 1.99251859 -0.98256488  2.2747579   0.43949546  2.63371495],[-2.72025746  2.12311186 -1.19807296 -0.54900762  0.36729526],[-1.67154852  2.34939167  2.1157593   2.48981356  2.72881115],[ 0.52152261 -0.91819915  0.72990836  0.3846554  -2.84524604],[ 2.60261335 -1.08132446  0.4195835   2.67159748 -2.71812981],[ 0.52028472  1.95269438 -0.65746578  0.49500105 -0.53603794]
5,[ 2.25613759  2.0097517   2.72200554  2.6204218   0.40734073 -2.76214479],[-1.26138765  2.41883384  0.63356378  2.53006828  2.70367687  0.32522617],[ 1.5415521  -1.21770826 -2.04916247  2.65489014 -0.64788439  2.7442688 ],[-0.96162813 -0.8094718   0.93970565 -0.39126029 -0.31578937 -2.71755827],[-1.49614283  2.57866678  0.73479992  1.99522148 -1.09943094 -1.33187523],[-1.64145246 -1.04432612 -1.33867866  2.58988918 -2.73598785  2.83351912],[-1.21732038 -0.81846536  0.52652531 -2.16057702  1.08386036 -0.39036425],[ 0.51276822 -0.82792582  2.35203999  1.25928607  1.8843083   0.22699795],[ 1.94520454  1.07952323 -0.43641138 -0.41000346  1.97940109  1.33081492],[ 2.76595809 -1.9854659   2.49256425  1.06567084  0.46635358 -1.24475169]
6,"[-1.0750787   1.97980361 -2.7151188   0.96976408  0.40648499  1.99604745
 -1.3291728 ]","[-2.78947851 -0.73295262 -2.5235872   0.98041122 -1.97186436 -1.2452344
 -2.94891658]","[ 1.7604243  -1.21156649 -2.02560067 -0.44547728  2.43772263 -0.40597476
 -2.88876604]","[ 2.21181949  2.37157471  0.60636231 -1.18259152 -0.30096318  2.15300905
  2.86941284]","[ 1.08293934 -1.12562682 -0.73778023 -1.13549324 -2.00112594 -1.30202972
  1.27672443]","[ 0.50254183  2.17716603  1.75072017 -0.49940923 -2.82891348 -0.39781219
  2.69721269]","[-1.21732038 -0.80836933  0.5074111  -2.14166785  1.10001468 -0.42627567
  0.18269296]","[-0.00915243 -2.32291984 -0.83884491  1.23938649  0.34463872 -0.29182283
 -1.78683951]","[-2.13432232  0.43065924 -2.68332973 -1.09453708 -2.0133239   1.26373661
 -1.85021437]","[-1.79637385 -1.99446005 -0.64845296  1.04294257  0.44584772  1.93017691
 -2.8866621 ]"
7,"[ 1.71191115  1.99336185  2.70614805 -0.63962633 -2.71906368 -2.76853888
  0.25500155  0.22737389]","[-0.03923717  2.44226844 -0.979579    0.97277326  2.64731416 -1.22489766
 -2.90631606  1.79853642]","[ 1.14296896  1.91663633 -0.49521678 -1.98574544  0.86144787 -0.34628052
 -1.83789534  1.78467456]","[-1.14227162 -2.41674472  0.97293086  1.20699725  1.79314507 -2.44463407
  1.23169209 -1.82797524]","[-0.99581355  1.99027713  2.2426115   0.42369304 -0.47279275 -2.90408284
 -0.27909128 -0.24658001]","[ 2.58410761  2.48902323  1.44079462  2.61347088  1.28620147 -0.41314907
 -2.03693686 -0.2128849 ]","[ 2.57057632  0.81471104  1.1043143  -2.60515288 -2.02034497 -1.97676768
 -1.7713508  -1.78697894]","[-0.00915243 -2.23125231 -0.86315655  1.25547539  0.31653147 -0.29353724
 -1.93580687 -0.3065671 ]","[ 2.47957525  1.91867137 -2.6285965   2.70506983  0.38188622  2.80076857
  2.87712835 -2.90943567]","[-0.63735252 -2.13864416 -2.13998011  0.53164571 -0.47087625  1.93166361
 -1.83145825  1.26672257]"
8,"[ 1.45430306 -2.66660966 -1.10221489  0.57552418  2.02617535  0.32100292
 -2.87467939 -1.29313313 -0.26630278]","[ 1.03449589  0.73285854  1.00432591  1.0300348  -2.67775176 -0.37608926
 -2.83926294  0.25252973 -1.37839592]","[ 2.23775608  2.79480475  0.47717683  2.71357592  2.49415153 -2.80599842
  1.85771246  1.78199746 -1.74898591]","[-1.14227162 -2.3883657   0.92059682  1.19811125  1.810546   -2.39268359
  2.75980245 -0.35046328 -1.80911793]","[ 0.08649549 -1.30158533 -0.67424526 -1.19643523  1.15827502  1.85995628
  1.26913863  2.95411225  2.91694551]","[ 1.6253388  -2.5007015   3.08462017 -1.02982276  0.2993764   1.99462186
  1.1271215  -0.24643881 -1.81493479]","[ 2.57057632  0.80910051  1.16504311 -2.59307397 -2.05320717 -2.04379197
 -1.80438107 -1.790254    0.21918566]","[-2.24507114 -0.94164508 -2.23775983 -2.88790551 -2.82268301 -2.81807595
 -0.37373907 -0.33200424  0.20898887]","[ 0.23516438  1.91414385 -0.50054447 -1.94295137  0.36219806 -0.34180206
 -2.90452926  0.17689374  1.37803699]","[-0.63735252 -2.1777202  -2.17872333  0.50394721 -0.43818506  1.90442817
 -1.8494505   1.24989306 -0.14625825]"
9,"[-0.03494468  2.65151801 -0.97669779 -2.61858819  2.69638809  1.85113924
  0.19273359 -1.2439274  -0.35611234  2.86327731]","[ 2.98824     2.37142807 -2.16590789  0.52745114  1.15330688  1.17276719
 -1.24072102 -1.8086798   2.91309101  1.41515995]","[-2.75735155 -1.98705866 -0.51921791  2.65559845  2.19783084 -0.33240672
 -1.83423097 -1.80054055  1.3778375   1.40003954]","[-1.54420119 -0.78196174  0.86990889  2.77704459 -0.2127624   0.67373173
 -1.98290784 -1.9091367  -1.81085317 -2.93789719]","[-2.07007292 -0.26819318 -0.87918297  2.01258466  2.71681634 -2.92441451
  2.86709662 -1.78062409 -1.32859138 -1.42409924]","[ 1.48756188  0.65372579  1.64434654  0.5416225   1.31560479 -2.72358918
 -2.64441702  1.32740683 -1.3265854   1.38543086]","[ 0.38921221 -2.30895974  2.75750294  1.04811826  1.92858404  1.06130565
  1.29677597  2.79977171  0.20067716  1.27628156]","[-2.24507114 -0.9417344  -2.22665941 -2.89581744 -2.8209004  -2.81663648
 -0.37191951 -0.35691817  0.3412448   0.20868418]","[ 0.23516438  1.92803139 -0.48639796 -1.89726903  0.35720285 -0.34361863
 -2.8640706   0.13882683  1.27347518 -0.18044633]","[-1.0737584   0.56607485  2.52079361  2.63481341 -0.46766572  0.3637923
 -0.27746763  1.26946155 -0.13546628 -2.99599526]"
