,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,-2.6268038482921887,-2.816498342947813,-2.6232129098911803,-2.449651596946526,-2.535672067944013,-2.564444536874521,-3.051166061056682,-2.7147682701891167,-2.5217817820267454,-2.7634868225558202
1,-3.178638350417584,-3.504356286320352,-3.22310098646816,-2.845893936620689,-2.6463495484469632,-3.308505196347241,-3.5630300192539095,-3.080358092957022,-3.0339483721643066,-3.090633795316152
2,-3.3946126375904875,-3.5948214297007333,-3.3938639983146626,-3.2508176434253238,-2.7673594523846043,-3.548619974690753,-4.103752461852888,-3.1675084848797748,-3.2790810824498937,-3.306398941797449
3,-3.5791635222974083,-3.8222166875955534,-3.6308115197590327,-3.401728322976525,-3.009204200920654,-3.8419686046883736,-4.418394936568184,-3.3401424145623553,-3.7012346727588366,-3.5815783577991716
4,-4.087936780488766,-4.062790722260263,-3.7797530129801253,-3.9562755925709214,-3.442872294090489,-3.891288479993608,-4.740541444044219,-3.5845741975126786,-3.8799790864657684,-4.056783868061397
5,-4.399153675079435,-4.079665803665919,-3.886719875989736,-4.219128927979987,-3.4428722940894576,-4.016229489950892,-4.8887726689079924,-3.7695742601500015,-4.009255345148414,-4.541425270328089
6,-4.570829442624321,-4.4602131494289345,-4.048241876025345,-4.446988367972895,-3.4428722940887715,-4.1245426018273506,-4.957807815832743,-3.8092493274467882,-4.09129521337764,-4.713615915836012
7,-4.630790238818235,-4.6346104150099485,-4.150685678659886,-4.616517302919646,-3.4875634721680138,-4.22954950401554,-5.07458166007963,-3.902473280343157,-4.270287024834523,-4.939948585700235
8,-4.667347778510519,-4.705508156670316,-4.2543945249085455,-4.737635211458249,-3.6097888221779604,-4.286313825445761,-5.165066341000391,-3.9943829212589774,-4.355342740276904,-5.0124507123462285
9,-4.715870812225119,-4.807681342191257,-4.3150221692438,-4.896100961161832,-3.6955282647424568,-4.414146635057142,-5.21399308472336,-4.104650090874346,-4.402796320782346,-5.064639690525932
10,-4.715870812223727,-4.874132421357312,-4.45395792155138,-4.934412941431331,-3.8303211040363583,-4.504785877090528,-5.243533178545941,-4.240828773009035,-4.429960057007748,-5.102386505526503
11,-4.820216851272217,-4.923216664071379,-4.567407051425844,-4.993295389092271,-3.9956817354006127,-4.558566514421808,-5.282162447645998,-4.281529045877041,-4.4469070769702,-5.1234824659813185
12,-4.866400294412695,-4.942945653122717,-4.68084040390854,-5.068349822388238,-4.085752301092155,-4.595220948572235,-5.302949294558027,-4.388780073654199,-4.4671909766012305,-5.156235536217009
