,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,"IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
"
1,"XIXZ	(1+0j)
","XZXI	(1+0j)
","ZZIZ	(1+0j)
","YIXY	(1+0j)
","ZIYY	(1+0j)
","XXXI	(1+0j)
","XIYY	(1+0j)
","ZXYY	(1+0j)
","IYXY	(1+0j)
","ZXYY	(1+0j)
"
2,"YYZY	(1+0j)
","XIIZ	(1+0j)
","ZIZX	(1+0j)
","YIZY	(1+0j)
","XXYY	(1+0j)
","ZYZZ	(1+0j)
","YIXX	(1+0j)
","ZYIY	(1+0j)
","ZYYZ	(1+0j)
","YZYZ	(1+0j)
"
3,"XYZY	(1+0j)
","IYYZ	(1+0j)
","XXZX	(1+0j)
","YYZY	(1+0j)
","ZZYX	(1+0j)
","YIIZ	(1+0j)
","YZXI	(1+0j)
","ZZII	(1+0j)
","YZZY	(1+0j)
","IZZX	(1+0j)
"
4,"YYZI	(1+0j)
","XZXY	(1+0j)
","ZYYZ	(1+0j)
","IYIY	(1+0j)
","XXXI	(1+0j)
","YYZX	(1+0j)
","ZXIX	(1+0j)
","XIXX	(1+0j)
","ZXXX	(1+0j)
","XYYZ	(1+0j)
"
5,"ZZXY	(1+0j)
","IIXY	(1+0j)
","XIYX	(1+0j)
","YYZI	(1+0j)
","YZIZ	(1+0j)
","YZIZ	(1+0j)
","YXZX	(1+0j)
","IXIZ	(1+0j)
","ZYIZ	(1+0j)
","IZZY	(1+0j)
"
6,"XZXZ	(1+0j)
","ZYIY	(1+0j)
","YXII	(1+0j)
","IIXZ	(1+0j)
","YZIZ	(1+0j)
","XXYZ	(1+0j)
","ZYXY	(1+0j)
","ZZIY	(1+0j)
","YXII	(1+0j)
","ZYZZ	(1+0j)
"
7,"ZXIY	(1+0j)
","ZXYZ	(1+0j)
","ZYIY	(1+0j)
","IIZZ	(1+0j)
","YZIZ	(1+0j)
","YIXY	(1+0j)
","IZII	(1+0j)
","XYYI	(1+0j)
","XIII	(1+0j)
","YXXI	(1+0j)
"
8,"XYYZ	(1+0j)
","XYIY	(1+0j)
","IXXX	(1+0j)
","XYZX	(1+0j)
","XXYY	(1+0j)
","YYXI	(1+0j)
","IXZI	(1+0j)
","ZIZZ	(1+0j)
","XZYX	(1+0j)
","YYIX	(1+0j)
"
9,"YZXZ	(1+0j)
","ZYYX	(1+0j)
","ZXII	(1+0j)
","IYZX	(1+0j)
","IIYX	(1+0j)
","XYYZ	(1+0j)
","XYXX	(1+0j)
","IZXZ	(1+0j)
","IXXZ	(1+0j)
","XIYI	(1+0j)
"
10,"YIYZ	(1+0j)
","ZZXZ	(1+0j)
","YYYX	(1+0j)
","YYZX	(1+0j)
","YXXI	(1+0j)
","ZZIZ	(1+0j)
","XYYX	(1+0j)
","ZYXZ	(1+0j)
","IXXY	(1+0j)
","ZYIZ	(1+0j)
"
11,"YIYZ	(1+0j)
","XIXX	(1+0j)
","XZYI	(1+0j)
","YIXI	(1+0j)
","XIII	(1+0j)
","XZZY	(1+0j)
","YXIZ	(1+0j)
","IIXX	(1+0j)
","IYII	(1+0j)
","IIXI	(1+0j)
"
12,"ZZIY	(1+0j)
","XZYZ	(1+0j)
","IZZX	(1+0j)
","YIXZ	(1+0j)
","IZZZ	(1+0j)
","XZXI	(1+0j)
","IXYX	(1+0j)
","IYYX	(1+0j)
","IIYY	(1+0j)
","XXIY	(1+0j)
"
