,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265]
1,[-0.84026442  2.63526517],[-1.69787973 -2.61066141],[-1.59600867  0.52444909],[-2.82729113 -2.82304111],[ 1.37519094 -2.9915443 ],[-2.72910577  0.48233824],[1.90007825 0.4078402 ],[-2.43654425  2.71617871],[-0.56816119  2.65871412],[-2.32039994 -2.86158133]
2,[ 1.1582737  -0.54563367 -0.25449586],[ 2.3395012  -2.6025419  -3.05911575],[-1.59600867  0.57707607  0.21717419],[-2.82729113 -2.66332348  0.25871857],[-1.06748764 -2.84603104 -3.0075338 ],[1.27337558 0.50171936 0.27257204],[1.90007825 0.45852561 0.39651753],[-1.53155907  2.70962021 -3.03977549],[-0.9227867   2.61665254  0.20489669],[-2.31876115 -2.75774093 -2.9751872 ]
3,[ 0.33533262  2.58539085 -0.34847531  2.9570368 ],[-1.04612224  0.50840639  0.08612644  0.25976785],[-1.18277327  0.58465165 -2.7451918  -2.9298445 ],[ 1.85410888  0.48365044  0.25318362 -0.14200113],[-1.06748764 -2.81301724 -3.00033563  0.31851216],[-2.44419024  0.55179758 -2.91823983  2.8074281 ],[-1.78529716 -2.7417865  -2.77824499  0.29676248],[-1.9518018   2.72092628 -2.93182288 -2.96624793],[ 0.71816049  2.59112707 -2.77995431  2.81219501],[-2.31876115 -2.77236488 -2.99026471 -2.86771557]
4,[-0.45945534 -0.57146943  2.72551642 -0.30713853 -2.71799353],[ 0.8202279   0.46834897  0.18086459  0.27564472 -0.25444599],[-1.18277327  0.59383789 -2.72248054 -2.9509906   0.17960953],[ 1.85410888  0.59039769  0.27073133 -0.17026648  0.45983231],[-1.08134903  0.25788091  0.11458067  0.39977589 -2.61466535],[ 0.60364891 -2.5824555  -2.88953423 -0.35632845  0.06499981],[-3.04379839  0.36379363  0.36638007 -2.83622559  0.29148543],[-1.9518018   2.70303258 -2.9035163  -2.97438002 -0.27504008],[-2.07260861 -0.53787083  0.35630841 -0.32885563 -0.23835903],[-1.13138131 -2.7351177   0.11092382  0.30484392  2.75753167]
5,[-0.45945534 -0.6429048   2.78639055 -0.22782047 -2.60574191 -0.35625414],[-0.82527637  2.12739102 -2.93795777 -0.28291458  1.31788782  1.67009994],[-1.0524098   0.60739256 -2.73555115 -2.96490167 -2.85912911 -0.15042769],[-2.25019176  0.60927516 -2.84082916 -0.22027939 -2.67720999  0.23535305],[-1.08134903  0.25788044  0.11458044 -2.74181698 -2.61466552 -3.14159265],[ 0.60364891 -2.58080718 -2.91335966 -0.42790028  0.06804487  0.19906409],[ 2.29740014  0.39233537  0.3687015  -2.83396098  0.26122125 -0.18753994],[-1.9518018   2.66390629 -2.94206274 -2.93930818 -0.26452564  0.26653855],[0.15412222 2.63993691 0.37517838 2.82008047 2.83724849 2.93734705],[-1.13138131 -2.73712151  0.05857813  0.27773141  2.68200517  0.36949744]
6,"[-0.45945534 -0.64331246  2.80678198 -0.18412681 -2.51215793 -0.35854463
 -0.2187964 ]","[-0.82527637  1.90872303 -2.98315455 -0.307128    1.26384804  1.59555712
 -0.38993313]","[-1.0524098   0.66075968 -2.82307652 -2.93713513 -2.8005575  -0.24246246
 -0.25072224]","[ 1.26222482 -2.45519803  0.31342666 -0.28015091  0.50232922  0.26866616
  2.85074814]","[-1.08134903  0.25788041  0.11458022 -2.74181659 -2.61466564 -3.14159265
 -3.14159265]","[ 0.60364891 -2.54934255 -2.88537492 -0.47311315  0.09047979  0.21965419
 -0.19704197]","[ 2.84687553 -2.76387564  0.37988172 -2.82653227  0.2627817   2.94452815
 -3.02615311]","[-0.55395883  2.65987331  0.20092667 -2.90611081  2.8886327  -2.83087403
 -3.06461327]","[-2.81881022 -0.55134567 -2.76456952 -0.33800713 -0.3200584  -0.18472901
 -0.15394453]","[ 0.01117137 -2.70807951  0.05504322  0.35951936 -0.46404768 -2.75307756
  0.16457479]"
7,"[ 0.67471713 -0.6902263   2.80883956  2.92830758 -2.57370923  2.77479188
  2.91107771 -0.13607472]","[-0.82527637  1.90814449 -2.98425698 -0.30695121  1.25320183  1.58628234
 -0.34528669 -0.24644804]","[-0.86212925 -2.51494976 -1.25895093  1.36252475  0.3537494  -2.92800351
 -1.82603975 -0.16069832]","[ 2.71575825 -2.46992354 -2.81567907  2.85917266  0.46656409 -2.83482489
  2.83799427  2.93458542]","[-2.82120359 -2.98376038  3.14159265  0.41827622  0.58909204  3.13927499
  2.9739908   3.13520228]","[ 0.60364891 -2.55081238 -2.92900769 -0.43678722  0.06669103  0.21974359
 -0.20424256 -0.20706676]","[ 2.07858661 -2.78273135  0.3775527   0.27339093  0.26450028  2.94990335
  0.14899113 -2.95937246]","[ 1.13034111  2.68129281 -2.97763949 -2.8696704   2.93033444 -2.8280684
 -2.98413993  2.95759281]","[2.43784156 1.06602471 2.00832178 1.23015244 0.31875581 1.36461014
 1.34973241 0.28565585]","[ 0.01117137 -2.7312335   0.13929864  0.33073234 -0.50464613 -2.73708021
  0.20682941 -0.23628268]"
8,"[ 0.67471713 -0.6846446   2.80755575  2.96153839 -2.55489945  2.7680361
  2.88422081 -0.14154828 -0.0801306 ]","[ 0.77779198  1.91671052 -2.9625343   1.27391301 -2.82051431  3.107024
  1.90688077 -1.29666876  1.71758655]","[-0.86212925 -2.50477647 -1.26539359  1.34423187  0.35035758 -2.90817602
 -1.84076457 -0.179744   -0.16144926]","[ 2.71575825 -2.4261429  -2.82760861  2.83733648  0.50026836 -2.86924878
  2.80538797  2.95249746  0.15967763]","[-1.74784689 -2.88590188  0.09386734  0.39708211  0.56841987  3.03274442
  3.14156945  3.03274443  0.04922255]","[ 0.60364891 -2.49451987 -2.91164083 -0.39150551  0.05942323  0.20484753
 -0.21644341 -0.2070801  -0.14224001]","[ 2.07858661 -2.83649483  0.37039466  0.27778206  0.22701073  2.87503643
  0.13231386 -2.94408617 -0.16421486]","[ 1.13034111  2.66349575 -2.98191636 -2.87840492  2.90923335 -2.7998192
 -2.96536959  2.9070285   0.19953557]","[2.43784156 1.04723913 2.03994195 1.22621108 0.33537152 1.36850963
 1.30916568 0.33260312 0.16969657]","[ 0.01117137 -2.72037401  0.13046481  0.30548527 -0.50818228 -2.76295326
  0.18334297 -0.25609604 -0.11921964]"
9,"[ 0.67471713 -0.70412402  2.79710701  2.96665588 -2.58504943  2.77184761
  2.89815793 -0.17781615 -0.07750034 -0.11708401]","[ 0.77779198  1.87361234 -2.95046658  1.34822383 -2.79254738  3.03885629
  1.93705204 -1.20708083  1.79604454 -0.22844803]","[-0.86212925 -2.53336037 -1.26722224  1.35729671  0.34080861 -2.90218902
 -1.83538617 -0.19195524 -0.18505651 -0.12476447]","[-1.47643363  0.71771806 -2.28659517  1.8513065  -2.17296072  0.27841415
 -2.76637858 -1.78341839  0.1693536  -0.21529716]","[-1.74784689 -2.95625447  0.02068748  0.45020993  0.61639754  3.03143366
  3.13932372  3.03143358  0.07901107  0.19787556]","[ 0.60364891 -2.4753909  -2.76609631 -0.31336763  0.11935169  0.24183514
 -0.31738667 -0.17236837 -0.28449216  0.2701792 ]","[ 2.07858661 -2.84785586  0.37076859  0.26198896  0.22928271  2.88300279
  0.09755128 -2.94556127 -0.16509045  0.11778308]","[ 1.13034111  2.63907371 -2.99863108 -2.75697062  2.8270467  -2.6943843
 -2.87787079  2.88866674  0.28754456 -0.29199926]","[-3.02600108 -0.45445451 -2.67572312 -1.92767546 -0.34712342 -2.89967682
 -1.31810791  1.89367924 -1.73310389  1.67532412]","[ 0.01117137 -2.71053936  0.14984048  0.29370468 -0.51606751 -2.75636628
  0.15524749 -0.26938591 -0.12738961 -0.1221169 ]"
