,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,-2.6268038482921887,-2.816498342947813,-2.6232129098911803,-2.449651596946526,-2.535672067944013,-2.564444536874521,-3.051166061056682,-2.7147682701891167,-2.5217817820267454,-2.7634868225558202
1,-3.179064833573206,-3.5725719902542585,-3.2979739639111005,-2.8458939366206883,-2.8445216867595855,-3.30850519634724,-3.5911180652650425,-3.0803580929570216,-3.082019980951041,-3.3762839748524915
2,-3.424444324145055,-3.803789757430279,-3.4945839763636783,-3.3520294776791015,-3.296663191071273,-3.6664472094275835,-4.127698139234455,-3.306317327897958,-3.3506956528083496,-3.748786795017692
3,-3.771060202203425,-4.067587472641226,-3.643204813377514,-3.788774549921154,-3.618036946410644,-3.8801005734712217,-4.4128951724292325,-3.465845918784484,-3.6407341237515114,-4.060525054278606
4,-4.186010092697384,-4.376829873404918,-3.8160994796497083,-4.133217445141368,-3.756556925456917,-4.045211462514894,-4.739942730809561,-3.6499788947402974,-3.917140569297574,-4.340072975804496
5,-4.391913949335727,-4.510722293264499,-4.002684957320925,-4.459739243465735,-3.8823622307098886,-4.206290340381901,-4.882951663294998,-3.8011521552102843,-4.062563750467897,-4.573537321601612
6,-4.545552684696245,-4.611654555690154,-4.113456079180315,-4.670711859855946,-3.9809776935738417,-4.31233691268123,-5.009551055415546,-3.974764341981008,-4.19564333092097,-4.818030776981519
7,-4.651997155659394,-4.688539187498964,-4.212363310480988,-4.741742571776696,-4.081387878921225,-4.389892374397131,-5.093552768590924,-4.098211447583192,-4.301769767206599,-4.954969213539563
8,-4.711326765412901,-4.800416794045375,-4.317963358584803,-4.829246859452557,-4.278222173734136,-4.457982387881842,-5.160570164701401,-4.21350533893654,-4.371179198091605,-5.0324668133888695
9,-4.793855215857528,-4.8994110509009,-4.528696338171377,-4.894081171231187,-4.400331038340716,-4.509856650046792,-5.197651702291528,-4.390209097459439,-4.426242751041236,-5.096685138952928
10,-4.839163716538613,-4.9288186229423765,-4.614844251299307,-4.9790226924507275,-4.459966378653077,-4.539565782898466,-5.246632725609505,-4.445417808189032,-4.172371426557531,-5.140297934151513
11,-4.861821793504011,-4.950411790494329,-4.653086685324442,-5.044179331275287,-4.531110196264819,-4.590340883847497,-5.268012597883704,-4.474485783399693,-4.46477815249869,-5.1580403751769595
12,-4.879933605753683,-4.959722220903837,-4.702703514372365,-5.086709834517323,-4.621903919152677,-4.610669422741951,-5.294110147243088,-4.499295293815824,-4.480669912585292,-5.176544400589215
