,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,"IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
"
1,"XXXZ	(1+0j)
","XZII	(1+0j)
","YYXZ	(1+0j)
","YZXY	(1+0j)
","ZYYI	(1+0j)
","XXXI	(1+0j)
","XIZX	(1+0j)
","ZXYY	(1+0j)
","ZYXY	(1+0j)
","IXYY	(1+0j)
"
2,"ZYXY	(1+0j)
","ZXYY	(1+0j)
","IZIX	(1+0j)
","IYIY	(1+0j)
","XXIX	(1+0j)
","YXIZ	(1+0j)
","YXXX	(1+0j)
","IIIZ	(1+0j)
","ZYYZ	(1+0j)
","IXZI	(1+0j)
"
3,"ZYXI	(1+0j)
","YZXY	(1+0j)
","YXZY	(1+0j)
","ZZZZ	(1+0j)
","ZIXI	(1+0j)
","YXXY	(1+0j)
","YIZX	(1+0j)
","IZYX	(1+0j)
","XXZX	(1+0j)
","IZZY	(1+0j)
"
4,"ZZXY	(1+0j)
","XIIX	(1+0j)
","IZIZ	(1+0j)
","XXXX	(1+0j)
","YIYX	(1+0j)
","YZIX	(1+0j)
","ZZZX	(1+0j)
","IIXX	(1+0j)
","IXXY	(1+0j)
","ZIXZ	(1+0j)
"
5,"ZXIY	(1+0j)
","ZXYZ	(1+0j)
","ZYYI	(1+0j)
","YXYI	(1+0j)
","IIZZ	(1+0j)
","YYYZ	(1+0j)
","XZXX	(1+0j)
","YZZY	(1+0j)
","IYZX	(1+0j)
","YIIX	(1+0j)
"
6,"IYIZ	(1+0j)
","YYXZ	(1+0j)
","IYII	(1+0j)
","IZXI	(1+0j)
","XXIZ	(1+0j)
","XZIY	(1+0j)
","ZYYX	(1+0j)
","YZYZ	(1+0j)
","XXYX	(1+0j)
","IZXZ	(1+0j)
"
7,"ZIYI	(1+0j)
","ZZYI	(1+0j)
","XYYI	(1+0j)
","XXIX	(1+0j)
","IIZY	(1+0j)
","IYIX	(1+0j)
","XXZI	(1+0j)
","XXYX	(1+0j)
","IIZZ	(1+0j)
","XXIX	(1+0j)
"
8,"IXXZ	(1+0j)
","IZZZ	(1+0j)
","XXZZ	(1+0j)
","YZII	(1+0j)
","ZZYI	(1+0j)
","ZIZX	(1+0j)
","ZXXZ	(1+0j)
","ZIYY	(1+0j)
","YIII	(1+0j)
","IYZX	(1+0j)
"
9,"YZZX	(1+0j)
","XXYY	(1+0j)
","IXZZ	(1+0j)
","IZZI	(1+0j)
","IZIZ	(1+0j)
","ZIIY	(1+0j)
","YYYI	(1+0j)
","IZYZ	(1+0j)
","YZIX	(1+0j)
","ZIXY	(1+0j)
"
10,"ZZZY	(1+0j)
","ZYZZ	(1+0j)
","ZXXZ	(1+0j)
","ZZYX	(1+0j)
","XZYY	(1+0j)
","IYXZ	(1+0j)
","YZIY	(1+0j)
","ZXYI	(1+0j)
","ZXYZ	(1+0j)
","YIYX	(1+0j)
"
11,"ZXZX	(1+0j)
","XIYX	(1+0j)
","ZIZY	(1+0j)
","IZIZ	(1+0j)
","YXXY	(1+0j)
","YYZY	(1+0j)
","YXIY	(1+0j)
","ZIXZ	(1+0j)
","YZIY	(1+0j)
","XYXZ	(1+0j)
"
12,"IYII	(1+0j)
","XZIY	(1+0j)
","ZZYX	(1+0j)
","IXZI	(1+0j)
","XYYI	(1+0j)
","XZXI	(1+0j)
","IYYY	(1+0j)
","XIIX	(1+0j)
","YIIX	(1+0j)
","YZZI	(1+0j)
"
