,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265]
1,[ 2.11379526 -2.63487772],[-2.521052    0.58966649],[3.14159265 0.59619468],[-2.41246852 -0.31855156],[-1.39129362  2.63720296],[ 1.86127647 -2.65925441],[ 0.24483139 -2.7008364 ],[ 0.32402234 -0.4254139 ],[-0.88779751  0.57893298],[ 1.79446056 -0.55033116]
2,[-2.55865885 -2.58939434 -0.3005961 ],[-2.08167636  0.60912477  0.29392869],[-1.36003503 -2.55699448  2.89379512],[-2.41246852 -0.4215546   0.48201514],[ 0.1088745  -0.61880563 -2.57591008],[ 3.0856667   0.49516353 -2.71275167],[2.25764546 0.48066143 2.74308026],[ 0.32402234 -0.47590381 -0.36691861],[-0.15450504  0.60767713 -2.90978768],[1.44899565 2.60442969 0.35509925]
3,[-1.15207469 -2.40964786 -0.37025587  0.40717174],[-1.47389529  0.5205667   0.33264705 -0.30149218],[-1.71260347 -2.54175218 -0.25794417 -0.22693143],[-2.41246852 -0.57732539  0.46251463  0.28573814],[ 0.45590385 -0.6169249  -2.54134857  0.35000589],[ 1.04822734  0.479711   -2.80634846 -2.77271892],[-2.92224206 -2.63589911 -0.39072234  0.30328972],[-0.24566719 -0.43007814  2.76530601 -2.92275329],[ 2.58352786  0.62457246 -2.85248064 -0.27268151],[-2.20766119 -0.53428287 -2.72421071  0.33312665]
4,[-2.5505533  -2.35747271  2.78127557 -2.61594298  2.77527825],[-2.12666194  0.50713108  0.29030682 -0.36594096  0.52035811],[ 1.22240843  0.57720215  2.90463517 -0.30205636  2.87643119],[-0.31899323 -0.61810555  0.44782628 -2.83757954 -2.78631146],[ 0.36139921  2.51035694 -2.42357627 -2.74548939  2.86252707],[ 1.51440824 -2.66881031  0.31228653  0.42187035  0.23967878],[-2.31625124 -2.65062034  2.74218543  0.34478168 -0.28632199],[-2.53745266  2.74213139 -0.35589892 -2.88904629  0.25081239],[ 2.58352786  0.58478744 -2.68336897 -0.35440895  0.30958623],[ 2.49677217 -0.49356671  0.48395996  0.35731676 -0.26087673]
5,[ 2.57584917  0.81676746 -1.25655302 -0.5549531   1.16814356 -0.2049884 ],[-1.60368391  0.43514652  1.33608711 -0.43613675 -2.54665017 -1.82758592],[ 1.22240843  0.59457998  2.91262263 -0.32831675  2.84660349 -0.24056302],[ 1.2087259  -0.97224791  1.16992651  2.49444864  0.41681685  1.32228232],[ 2.70762144  2.50419485  0.68909999  0.4191621  -0.27726329  0.14224431],[-2.89151102  0.4934812   0.2910706   0.36834371  0.2715868   2.91481793],[-1.30433929  0.48166258  2.72579653 -2.77036443  2.83742532 -0.1572957 ],[-2.53745266  2.78441038 -0.41314814 -2.81344277  0.34343926 -0.25633748],[ 2.98653677 -2.55492968 -2.6394338  -0.34454523  0.33477936  0.20109859],[ 2.49677217 -0.47286698  0.59253574  0.39691836 -0.34706436  0.2276452 ]
6,"[-1.94421352  0.83727249  1.89439633 -0.54123392  1.16301812  2.92375486
  0.16090957]","[ 1.54379574 -2.71426638 -2.92859753  2.76010189 -2.48992626  2.83153029
  0.19096402]","[ 1.32633793 -2.52650774  2.93804826 -0.30296323 -0.31348928  2.85851386
  2.94990274]","[-0.94084871  2.164492   -1.97403102 -0.66201514  0.43375258 -1.91389909
  0.24451285]","[ 2.70762144  2.50513204  0.70430447  0.44546105 -0.3171285   0.16562066
  0.15288538]","[-2.62739721  2.08399438 -2.83799758  1.97872735  1.79912157 -2.85210898
 -1.75425617]","[ 1.86522542  0.46296987 -0.41896311  0.37528725 -0.37437135  2.99778771
  2.94029746]","[ 1.06228102  0.38534029  1.03617067  0.36634073  1.98426688 -1.91327629
 -1.88794277]","[ 2.98653677 -2.49016281 -2.65613262 -0.31195871  0.33688768  0.20123532
 -0.21190199]","[-2.6069014   2.75744364 -2.5387012   0.41310026 -0.36799943 -2.85481882
  0.25371533]"
7,"[-1.94421352  0.84801975  1.91520479 -0.59020294  1.18617323  2.91789192
  0.17474516 -0.20571103]","[ 1.54379574 -2.72762778 -2.95071121  2.83678471 -2.53879279  2.78365191
  0.22719465 -0.15302578]","[ 1.32633793 -2.54066878  2.95984959 -0.32643841 -0.37285004  2.83726849
  2.95935604  0.18947166]","[-1.18445341  2.17733387  2.00024145  2.4954146   1.07965885  1.90225011
 -1.81089426  1.71116351]","[ 2.70762144  2.48167671  0.72944771  0.48667135 -0.38604327  0.1839456
  0.19234802 -0.15389833]","[-2.62739721  2.10686347 -2.85272606  1.91656025  1.79450592 -2.81753931
 -1.79720488  0.16938061]","[ 0.00800514 -2.62381235  2.71189549 -2.77719657  2.79452079 -0.16840301
  2.93129059 -2.98644205]","[ 1.06228102  0.2975475   1.06803212  0.39721537  2.00394818 -1.89476697
 -1.86355842  0.20428267]","[-0.30559612  0.66351154  0.44597545  2.79178581 -2.82297301  0.20513825
  2.91216075 -2.97900399]","[-2.6069014   2.70120706 -2.40149104  0.49299116 -0.31198404 -2.86128826
  0.22549685  0.27054813]"
8,"[ 0.54040082 -2.24619849 -1.93428413  0.62539685  0.41296583 -1.35814213
  1.41262842  0.29122464 -1.72095829]","[-0.16159066 -1.19638925 -1.38056436  1.31884645  0.50689073 -1.17863656
  2.90158333  1.78400039 -1.75603913]","[ 1.32633793 -2.54715847  2.96891484 -0.35032393 -0.36461509  2.78489567
  2.9903835   0.22634515  0.15640659]","[-1.18445341  2.20799957  2.02405098  2.48942166  1.08628845  1.91635436
 -1.77675379  1.73424682  0.18102751]","[ 2.70762144  2.62062272  0.81400787  0.58918768 -0.39537997  0.16636324
  0.29792377 -0.31441374  0.41255549]","[ 2.17453044 -1.02984738 -2.86756543  1.91653724  1.78657731  0.38454366
  1.28953277  0.20073115 -0.13523123]","[ 0.00800514 -2.57900856  2.71397887 -2.77697294  2.80369126 -0.15096128
  2.94187648 -2.96953398 -0.14186978]","[ 2.74481684  0.30069078  0.98138561  0.42689687 -1.15097963  1.24629802
 -1.85225332 -2.92954421 -2.96428729]","[-0.30559612  0.64601453  0.41924264  2.78789824 -2.82575836  0.21668286
  2.90297023 -2.94099261  0.16243079]","[-1.93422768  1.10028261 -0.67115475 -2.68777201  2.79594069  2.83960754
  1.34801634  2.8818512   1.73892322]"
9,"[ 0.54040082 -2.22555901 -1.91647043  0.65204331  0.39942784 -1.34712323
  1.41153711  0.30534535 -1.72534854  0.15867684]","[ 2.85646257 -1.19732822  2.94484672  1.29031374  0.56269407  0.39385644
  2.87865237 -1.25002554  1.35536866  0.20707467]","[-2.35421627 -2.55414921  2.84662284 -0.34218536  2.81170355  2.80047556
  2.91377612 -2.98309162  0.29397364  2.86875921]","[ 0.56770764  2.23238807 -0.44622639 -2.23283762  0.51180482  1.24562739
  0.19172005 -1.76179277  1.80639449  1.45982006]","[-1.65978087  1.04552385 -2.33813907  1.00374773 -1.11718749  0.09145723
  1.28681014  1.93373979  2.007457    0.20456077]","[ 2.17453044 -0.95231223 -2.90657215  1.90142716  1.77964063  0.39321595
  1.28782367  0.23748652 -0.1572438   0.13280786]","[-2.69794879 -2.58845495  1.14762095  2.77340786 -1.23029396 -1.73284753
  1.36705961  1.40554009  0.13759662 -1.47533465]","[-1.51119093 -1.24261331  2.26303281 -0.60572995  0.5019723   2.68346261
 -0.34907469  0.24111448 -1.32150091 -0.27355962]","[-1.74665565 -2.49378248  0.44543664 -0.34268362 -2.85147436 -2.92762933
 -0.25634724 -2.90340008 -2.93168139 -3.00822956]","[-1.93422768  1.08422504 -0.65140083 -2.69732394  2.81062417  2.88263899
  1.34412251  2.88070571  1.78516194  0.12439545]"
