,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,15.087918579237211,15.51698616649604,15.247141800755465,13.962710770633477,14.493910739873867,16.300684018062164,15.590453294478515,15.203908056579738,14.399875977278143,14.559339206192005
1,-1.1743382535105578,-2.6303702275409266,-0.5403872053929708,-0.9193206571345902,-0.7362870900438988,-1.0679443924645033,-0.12184563783879562,-1.0714217795081737,-0.8164630192888012,-0.9262068117908289
2,-1.7718332944811617,-3.513059776803836,-2.194496000559652,-1.9677684305954917,-2.497322692367557,-1.692225783510273,-3.2754470334438732,-1.5264323143212308,-1.5713364174247249,-1.8250739995615364
3,-2.607128377239957,-3.8115816117872434,-2.6915925066858093,-2.3893812240257923,-2.564237117253044,-2.611608010294309,-3.848473431145581,-2.44048239822963,-2.4791621638644914,-2.5753767995244097
4,-3.1569818404384242,-4.198893713668696,-3.7604603709582007,-3.334189166292588,-2.8686692343333537,-2.9330865010416876,-4.113233470943295,-2.766300434400392,-3.0087419093195136,-2.9585363760081043
5,-3.7482631519869507,-4.3419730542854325,-4.0465178795388255,-3.501109516980098,-3.453119445820991,-3.1733478407794458,-4.43224493694952,-3.039152631002259,-3.253426487686626,-3.1462199275520146
6,-3.965304887077222,-4.439839064792651,-4.25101685954181,-3.7052057127230893,-2.9887584986582745,-3.4326479507875347,-4.670381839028798,-2.7664443588584233,-3.4990411662840013,-3.576975701086809
7,-4.172780870044114,-4.472009397515475,-4.38904888074771,-3.7736105253679337,-3.652911499175158,-3.6848300960885534,-4.78859538901551,-3.342413632217841,-3.5973135538961163,-4.111687908152579
8,-4.359492744842186,-4.559044737550536,-4.432977955010337,-4.134136284016449,-3.849214420495973,-3.947849879759442,-4.954283178878695,-3.5308072042236964,-3.721108560965928,-4.352129548953456
9,-4.535750559419716,-4.644390923005466,-4.476000613908515,-4.34020197828589,-4.012517910121632,-4.126223991773892,-5.033102706192888,-3.7567289734580775,-3.8773172479134463,-4.466749824839918
10,-4.72668318363778,-4.735054903270234,-4.542077409191072,-4.54619240008779,-4.1742903332742065,-4.253528634635199,-5.070151821744514,-3.952147730918217,-4.06132450742092,-4.585302391685547
11,-4.786324905443458,-4.841003773801869,-4.588637917060985,-4.727783660165805,-4.286713622141898,-4.406622299223433,-5.128133929179124,-4.065898105172056,-4.159346712674577,-4.989706523589612
12,-4.838575957008831,-4.884346569540135,-4.64441845634632,-4.853838958925083,-4.39511476422649,-4.477780972169168,-5.194624550715051,-4.269780329399318,-4.283770072959718,-5.078419364822042
