,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,"IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
"
1,"ZIIZ	(1+0j)
","IIXZ	(1+0j)
","IIIY	(1+0j)
","IYYI	(1+0j)
","YYZY	(1+0j)
","YXYZ	(1+0j)
","IIZZ	(1+0j)
","IYIZ	(1+0j)
","IZII	(1+0j)
","YIZZ	(1+0j)
"
2,"YZIX	(1+0j)
","YZIY	(1+0j)
","IIYI	(1+0j)
","ZIII	(1+0j)
","YXYX	(1+0j)
","IYIX	(1+0j)
","IYXZ	(1+0j)
","ZIYI	(1+0j)
","YIIZ	(1+0j)
","YYIX	(1+0j)
"
3,"ZXYI	(1+0j)
","ZXII	(1+0j)
","IXYX	(1+0j)
","YIYI	(1+0j)
","IYXZ	(1+0j)
","IIZI	(1+0j)
","IZIX	(1+0j)
","YYZI	(1+0j)
","IZZI	(1+0j)
","YXYI	(1+0j)
"
4,"ZYXZ	(1+0j)
","XZIX	(1+0j)
","YYIZ	(1+0j)
","ZIXZ	(1+0j)
","IXXZ	(1+0j)
","ZYXI	(1+0j)
","IIZI	(1+0j)
","XIZI	(1+0j)
","IYIY	(1+0j)
","XIZY	(1+0j)
"
5,"IXZX	(1+0j)
","ZXZY	(1+0j)
","XZIX	(1+0j)
","XYZI	(1+0j)
","YZXZ	(1+0j)
","ZZYY	(1+0j)
","IYZX	(1+0j)
","XIXZ	(1+0j)
","ZYXY	(1+0j)
","ZZYZ	(1+0j)
"
6,"YIXI	(1+0j)
","ZXYY	(1+0j)
","XZZY	(1+0j)
","YYZZ	(1+0j)
","XYXY	(1+0j)
","XXYZ	(1+0j)
","YZIZ	(1+0j)
","IXXZ	(1+0j)
","ZYIY	(1+0j)
","ZZYY	(1+0j)
"
7,"ZXZZ	(1+0j)
","XXXY	(1+0j)
","XYYY	(1+0j)
","IYII	(1+0j)
","ZIIY	(1+0j)
","YXYY	(1+0j)
","ZYIY	(1+0j)
","XIYI	(1+0j)
","ZXYY	(1+0j)
","YYXX	(1+0j)
"
8,"ZYZX	(1+0j)
","YYIZ	(1+0j)
","XXZX	(1+0j)
","IZXY	(1+0j)
","YXIX	(1+0j)
","XZYI	(1+0j)
","ZYZX	(1+0j)
","ZYXI	(1+0j)
","XIIZ	(1+0j)
","XZYX	(1+0j)
"
9,"XZZX	(1+0j)
","YXYI	(1+0j)
","IIIY	(1+0j)
","ZZYZ	(1+0j)
","XIYZ	(1+0j)
","IZXY	(1+0j)
","ZIXX	(1+0j)
","YYIZ	(1+0j)
","IYXY	(1+0j)
","ZXXX	(1+0j)
"
10,"IZIY	(1+0j)
","IZZZ	(1+0j)
","XIIX	(1+0j)
","IXYI	(1+0j)
","XIXY	(1+0j)
","ZZIZ	(1+0j)
","XYYI	(1+0j)
","IIXI	(1+0j)
","ZXXY	(1+0j)
","ZIZI	(1+0j)
"
11,"IXZI	(1+0j)
","IIYI	(1+0j)
","XZYI	(1+0j)
","YZXI	(1+0j)
","YZYI	(1+0j)
","IYYX	(1+0j)
","YZZZ	(1+0j)
","ZZYZ	(1+0j)
","YIXI	(1+0j)
","YZZX	(1+0j)
"
12,"YIIY	(1+0j)
","IIXZ	(1+0j)
","YXIX	(1+0j)
","XZIX	(1+0j)
","ZIZZ	(1+0j)
","ZXXI	(1+0j)
","YYXX	(1+0j)
","ZIZY	(1+0j)
","XYIX	(1+0j)
","IYXZ	(1+0j)
"
