,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265]
1,[ 0.64920432 -1.61311643],[0.97963505 1.62714989],[0.29144369 1.50488942],[0.51072841 1.64687766],[ 0.96414239 -1.488068  ],[-2.85052402 -1.52493392],[-1.15301904  1.52602567],[-0.81962265  1.5029616 ],[ 1.44023489 -1.62884428],[2.56557431 1.52307021]
2,[ 0.69688398 -1.61381731 -0.60671198],[ 0.44685767 -1.51666933 -0.59255463],[ 1.33798961 -2.42154533 -1.50234856],[ 0.12708579  1.66854547 -2.35204387],[-1.35502371  1.73531908  1.09381158],[-1.24580597 -1.50863521  0.70135822],[-1.15301904  1.41194097  1.92988165],[-1.1891236  -1.63914377  2.55405924],[-1.08123369  1.51980745 -2.49979196],[3.06507497 2.72785716 1.55893807]
3,[-1.61956624  1.55919248 -0.66470751 -0.6013236 ],[ 0.51122992 -1.5104926  -0.56584139  0.33310582],[ 2.31195545 -0.87660166  0.33292521 -1.86862482],[ 0.12708579  1.68942269 -2.45668658  0.48876897],[-0.62543432  1.73874671  1.10913306 -0.0702035 ],[-1.72875668  1.71682992 -2.25475476 -0.70650623],[-1.15301904  1.41516074  1.92374816  0.45470351],[0.40252623 1.50867661 2.63267041 0.80340972],[-3.12989103 -1.59051895  0.72030179 -2.37844856],[ 0.93918282  2.44283588 -1.60491898  0.61036785]
4,[-1.61956624  1.55448076 -0.59494888 -0.54911789  0.47011327],[ 2.28254035  1.55493879 -0.49348847 -2.7678894   2.76910727],[-1.800427   -0.75328675 -2.72348702  1.23973265 -0.74766676],[-1.07887156  1.76070042 -2.71437077 -2.65627237  0.76389299],[-0.62543432  1.73996185  1.05316836 -0.06377776  0.34530093],[-1.72875668  1.68514087 -2.36983173 -0.6103878   0.39640598],[ 3.01445534  1.42400943 -1.21350311  0.29671908  0.29838671],[0.40252623 1.49366276 2.62782869 0.89708159 0.37186453],[-2.64359402  1.55504242 -2.43752625  0.78836588 -2.62216861],[ 1.15639186 -0.40277883 -1.61929607  0.45787331  2.64428192]
5,[-1.43978705 -0.0781877  -2.25327385 -1.08485405  1.27874705  1.00444234],[ 2.16335312 -1.58697533  2.63693942 -2.79787188 -0.35508518  0.19379374],[-1.800427   -0.80234133 -2.70497358  1.22620931 -0.79273897 -0.30064776],[ 1.94349113 -1.35816368 -2.73424311  0.49205127  0.85920463  2.97416158],[ 1.99817632  2.89396301  0.54227732  1.53896701 -2.73244682  0.50524465],[-2.92295099 -1.272284    0.72785494  2.50217334  0.38705876 -0.28695544],[ 0.06907409  3.0201072   2.75978543  1.95267312 -1.07625856 -2.92343207],[0.40252623 1.42463639 2.67753492 0.85236019 0.40172492 0.2913413 ],[ 1.89716872 -0.12265568 -0.92768431 -2.35790978  0.50178887 -1.849818  ],[-2.25543727 -0.42184256 -1.64122148 -2.64357831 -0.47081162  2.93754053]
6,"[ 1.02878783  1.66021843 -0.68004615  2.67396185 -2.87674879 -0.64239756
 -2.90829716]","[-2.19748022  3.11568381 -2.03638598 -1.20891943 -1.97192562  1.39247203
  1.74272975]","[ 1.98091579  2.32941016  1.11895411  1.19240441 -0.86115564 -1.29901681
 -1.84767535]","[ 1.94349113 -1.38209694 -2.74722065  0.47603563  0.83078698  2.84981518
 -0.21601868]","[ 0.99019435 -0.29244387 -0.87427252  0.25331772  2.3313874  -2.13807547
  1.1581704 ]","[ 1.99390988 -0.36837155 -0.9250273  -2.44682763 -2.81063936 -1.95220996
  0.3345085 ]","[-0.21908049  1.4326415   1.96574492 -2.75359139  0.48208147 -2.92667406
 -2.90381164]","[-0.84875378  0.13360849  0.41075981 -2.17951588  1.585848   -0.97844593
 -0.67689529]","[ 2.5839737   1.62358464 -2.4935997   2.39066996 -2.62955626  1.15986637
  1.88588331]","[-2.94349491 -2.64606083  0.26193377 -2.5974854   1.9484933   1.20754168
 -0.47311459]"
7,"[ 1.63895128 -0.09222439 -0.65661076 -0.461041   -0.3120879   2.16205101
  0.28474197 -1.36995784]","[ 0.00534654  1.53770574 -0.46295017 -2.77180512  2.72028793  1.39354925
  1.75678022  0.05221815]","[ 2.20750193  0.74736409  2.03087521 -0.38102039 -0.89682176  2.89170441
 -0.26772662 -2.94819626]","[-1.81147531 -2.92171738  2.78068535 -0.53916752 -0.7133242   3.14159265
  1.48227642  2.68891079]","[-1.75212717  0.3410925   2.5034046   1.56356287 -1.12008888 -2.12588309
 -1.40713928 -1.46009508]","[ 0.82713759 -1.98414097  2.14393506 -2.40356787  2.02507287 -2.7085583
  2.02034252  1.32372927]","[ 2.13471294  0.15917635 -0.38697647  1.18824427  2.02483483 -0.19456852
  1.33857791 -1.40597751]","[-0.84875378  0.21784276  0.69426379 -1.86960497  1.38090587 -0.92907427
 -1.30890995  0.51632152]","[ 2.5839737   1.6282047  -2.48243168  2.41109328 -2.59995269  1.11222296
  1.93431435 -0.15381305]","[-1.52244546 -0.51203164 -3.00764241  0.37408981  1.04773663  0.44164306
  0.88499799 -0.45521489]"
8,"[ 2.54742452  3.02288724  0.65066552 -1.11531264 -0.35168025 -0.5798003
 -1.32800262  1.77485074 -2.9037279 ]","[ 1.03656948  1.57257125 -0.37696809  1.19155087 -1.15599721 -1.36156882
  1.40348335 -1.61053958 -1.40311085]","[-1.26562656  2.38638958  2.02432097  1.93262754  0.88734102  1.29421659
 -0.25432259 -1.37064256  3.04817051]","[-1.12250455  1.33312062  1.99369383  2.6445314  -2.46591111  3.03401894
  0.21825938 -1.16616559  1.79749276]","[-1.75212717  0.33673438  2.4740738   1.69066523 -1.16261357 -2.12626628
 -1.3743333  -1.53494645  0.2481712 ]","[ 0.82713759 -1.97426539  2.17618791 -2.422311    2.05476276 -2.70824689
  2.04166572  1.35136819 -0.30729261]","[-2.59154537 -1.70473672  0.38475721  1.18747814 -1.1645677   2.9874429
  0.22450201 -1.75639792  1.80973333]","[-0.10125121  1.4900415  -0.90102759  0.27255961  2.9373843   0.86048979
  2.78813443  2.12566633  2.90619754]","[ 0.79586016  3.08471789  0.71290481 -2.40068812  1.03154647 -2.00362446
 -1.20938438  2.9348683   1.77634337]","[-0.19867893  0.50310351 -0.11889398 -1.35260792 -2.09245079  1.17342408
 -0.70638274  2.07720471  1.84352325]"
9,"[ 0.21173632 -0.13767532  0.94987782  1.12659894 -2.82040446  2.2051781
  1.81810381 -1.32257498 -1.31754012  0.22988329]","[-1.42079488  0.03343142 -2.75605036 -0.37828968 -2.72905792  2.84714352
  1.39174307  0.0655312  -0.20946454  1.40732735]","[-1.26562656  2.40322123  2.04573746  1.91216655  0.89042254  1.30253293
 -0.24789727 -1.36724851  3.04842994  0.09403096]","[ 2.70638709  1.96231084  2.02927202  0.53795233  2.30555326 -1.43082067
  1.77954828  1.90341198 -1.37359765  2.88694218]","[ 2.21176501  0.32935944 -2.21347827 -0.12913204  1.89531399  2.61646555
  1.74718076 -0.06949051  1.83665857 -1.78820008]","[-0.62427626  2.75696478 -2.10335728  2.47283109  2.67204525  1.97331441
 -1.08707245 -0.13035728 -1.25173904  1.81202938]","[-2.59154537 -1.68045521  0.3526764   1.1956718  -1.16489365  2.99395737
  0.22117824 -1.77475695  1.80555115  0.13274275]","[ 2.83687387  1.72220901  2.26451075  2.88123226  1.86104469  2.19350744
  1.86069793  2.63428985  1.86650216 -1.81487817]","[ 0.18566473 -0.11268942 -2.45017494 -2.34148754 -2.56966921  2.65643201
  1.12050439  1.33673582 -1.87514273  1.82637144]","[-0.92566834  2.68973258  3.01108453  0.23431752  2.60274736 -1.15402935
  0.91612347  1.07129385  0.27399796  0.16519086]"
10,"[ 0.21173632 -0.18169041  0.93168886  1.08892661 -2.82032736  2.26289118
  1.85056544 -1.13343731 -1.28343611  0.28435931  0.27685351]","[-1.57956499  1.55371137  0.36252203 -1.91279476  1.19604235  1.27737719
 -2.93277574  3.07433051 -1.79949629 -1.74631582 -0.16490378]","[ 2.18772638  0.73900248 -2.04682941  1.24784888 -0.8696409  -1.3240004
 -1.32178551 -0.20160012  3.05061737  3.02236634  1.70696988]","[ 2.70638709  1.9966891   2.03091323  0.58490992  2.23014598 -1.43062589
  1.71052178  1.90766637 -1.28311976  2.78861131 -0.29659482]","[ 1.00536431 -0.32838524 -2.19960543  1.69206687  2.80684122  0.4909121
  0.15048282 -3.03619422 -1.31772952 -1.78798563 -1.33012073]","[ 2.56730227  0.47021317 -2.58175387 -0.67391938 -1.05481377  1.96342914
  2.05400305  1.43009065 -0.35320279  0.2394896  -2.91950543]","[ 1.84632528  0.16156342  0.34001915  1.19989099 -1.98431647  1.72715529
 -1.8062103   1.38086824 -2.92199448  0.1739149   1.64402859]","[-0.45888414 -3.0503065  -0.6716022  -1.31638771  0.28083934 -2.18831477
 -1.85236663  2.06101793  2.84590244 -0.23207093  2.86707559]","[-0.63366863  0.10794836  0.65552031  0.73113365 -0.58915141 -1.11851806
  2.65987487  0.26607276  0.36231664 -0.36381738  1.30312608]","[ 0.42370708  2.68169087 -0.17736087  0.22154851  1.05234958  2.77026211
  2.22317436 -1.08246933 -1.28335811  2.97308114 -1.75928253]"
