,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,15.087918579237211,15.51698616649604,15.247141800755465,13.962710770633477,14.493910739873867,16.300684018062164,15.590453294478515,15.203908056579738,14.399875977278143,14.559339206192005
1,-2.0160253953440375,-2.630370227540927,-1.603079259463188,-1.7687068393273158,-2.2019440197216893,-1.856648625960506,-2.7194383060218397,-1.9181047794316497,-1.8440081430893585,-2.003750544016822
2,-2.6665540938885606,-3.546286112048735,-2.582451353740617,-2.2614495433041575,-2.6661791086884663,-2.6544457080426738,-3.4393566071374466,-2.7266567643736415,-2.2486504191731442,-2.9194537945619903
3,-2.997394132004361,-3.893333029422709,-3.223306983884036,-2.847520310816155,-3.209918153223029,-3.1316577776790244,-3.8216087036856776,-3.1270219426238715,-2.6519673894139038,-3.2930571742271337
4,-3.227156392631885,-4.1974596941866915,-3.807749427343148,-3.2154098608182617,-3.522046146636048,-3.4933761317203875,-4.111275129264854,-3.353179323833413,-3.0252663922520986,-3.8158461920633666
5,-3.4075559740290036,-4.37189149730056,-4.074608355453281,-3.732720925258792,-3.679966500243078,-3.8207271936009546,-4.387032770304655,-3.602357922914078,-3.312055952371504,-4.180580780314307
6,-3.670942087268699,-4.480632066213396,-4.285130230372261,-4.110023052444529,-3.836110685173337,-4.053121169545037,-4.563020790276748,-3.7921747184055117,-3.511165184353727,-4.413445313835756
7,-3.827204400401431,-4.575556053188288,-4.439942674014435,-4.395901708327888,-4.003795241272686,-4.2764301906524596,-4.699187811450002,-3.9963319151267904,-3.707558522413536,-4.720223468539483
8,-3.957379611813473,-4.687972454434573,-4.467071386298533,-4.644949957415143,-4.141815340036241,-4.337309446734877,-4.874839836877743,-4.152914974881901,-3.8187667995668804,-4.83708660900711
9,-4.124663347104422,-4.774107088019922,-4.4900229731054395,-4.847674036850203,-4.301038323719941,-4.394240501601892,-5.0088636186497935,-4.26404925922165,-3.879466498964337,-4.943864104631208
10,-4.250847035368854,-4.821803581743076,-4.523647558960414,-4.950882868221987,-4.415879326158448,-4.429180613824305,-5.144815117684386,-4.33342060957445,-3.941193261321132,-4.9893611581192445
11,-4.350434524057974,-4.8636985068201986,-4.594974878866889,-4.998179427622255,-4.508869220721542,-4.483992593457701,-5.225511547516495,-4.387920964734657,-3.986465858583888,-5.053111532144225
12,-4.424331171973385,-4.914183469226153,-4.645887867472021,-5.055734833181918,-4.601892399741901,-4.518238817574783,-5.259771006202126,-4.443081754921846,-4.0648480919959455,-5.088832761640976
