,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,"IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
","IIII	(1+0j)
"
1,"IYYY	(1+0j)
","IIIZ	(1+0j)
","YYYY	(1+0j)
","IIYI	(1+0j)
","IIYY	(1+0j)
","YYZI	(1+0j)
","IYYI	(1+0j)
","YYIY	(1+0j)
","YYYI	(1+0j)
","ZIII	(1+0j)
"
2,"IZYX	(1+0j)
","YYIZ	(1+0j)
","XIZY	(1+0j)
","YIXI	(1+0j)
","ZIII	(1+0j)
","IZII	(1+0j)
","IIZI	(1+0j)
","IXIY	(1+0j)
","YIIZ	(1+0j)
","IYYY	(1+0j)
"
3,"IIXX	(1+0j)
","ZIIX	(1+0j)
","YZXY	(1+0j)
","YZZI	(1+0j)
","YYZI	(1+0j)
","ZIXI	(1+0j)
","YXYZ	(1+0j)
","ZIYY	(1+0j)
","YXZI	(1+0j)
","IXYY	(1+0j)
"
4,"ZXYY	(1+0j)
","ZXYZ	(1+0j)
","YZYZ	(1+0j)
","YXYZ	(1+0j)
","IZXX	(1+0j)
","YXXY	(1+0j)
","XXYZ	(1+0j)
","IIIX	(1+0j)
","ZZIX	(1+0j)
","IXYI	(1+0j)
"
5,"XIZI	(1+0j)
","IZXI	(1+0j)
","IYZY	(1+0j)
","XZXZ	(1+0j)
","YIYX	(1+0j)
","ZIXY	(1+0j)
","XXXY	(1+0j)
","IXYX	(1+0j)
","IXYY	(1+0j)
","XYIX	(1+0j)
"
6,"ZZZI	(1+0j)
","XZXI	(1+0j)
","XZZY	(1+0j)
","YYZY	(1+0j)
","XXIZ	(1+0j)
","YIZY	(1+0j)
","ZYIZ	(1+0j)
","XYYY	(1+0j)
","YIZY	(1+0j)
","YYXX	(1+0j)
"
7,"IZXI	(1+0j)
","YXYZ	(1+0j)
","XYYY	(1+0j)
","YXXY	(1+0j)
","ZZZI	(1+0j)
","YYXI	(1+0j)
","ZIXZ	(1+0j)
","XXYZ	(1+0j)
","IXXZ	(1+0j)
","YYIY	(1+0j)
"
8,"ZYXX	(1+0j)
","XYYZ	(1+0j)
","XZZZ	(1+0j)
","IXII	(1+0j)
","IIZY	(1+0j)
","ZYYY	(1+0j)
","IZIY	(1+0j)
","IZXI	(1+0j)
","YXYY	(1+0j)
","XYIY	(1+0j)
"
9,"XXZY	(1+0j)
","ZIII	(1+0j)
","XIIX	(1+0j)
","XZIZ	(1+0j)
","ZZYI	(1+0j)
","XXYX	(1+0j)
","YIZI	(1+0j)
","XXIZ	(1+0j)
","XXYZ	(1+0j)
","ZIXY	(1+0j)
"
10,"XIIX	(1+0j)
","ZYXZ	(1+0j)
","ZIYY	(1+0j)
","YZXI	(1+0j)
","YXXZ	(1+0j)
","ZXYZ	(1+0j)
","XZXI	(1+0j)
","YYII	(1+0j)
","YIXX	(1+0j)
","IYII	(1+0j)
"
11,"XXXY	(1+0j)
","XIYI	(1+0j)
","XZYZ	(1+0j)
","XYIX	(1+0j)
","IXXY	(1+0j)
","YZYZ	(1+0j)
","XXZZ	(1+0j)
","XYIY	(1+0j)
","IIYZ	(1+0j)
","IIXX	(1+0j)
"
12,"IYII	(1+0j)
","IXYX	(1+0j)
","XIZI	(1+0j)
","IYIX	(1+0j)
","IXXI	(1+0j)
","XIXY	(1+0j)
","YZXX	(1+0j)
","IZYZ	(1+0j)
","ZZXX	(1+0j)
","XZXZ	(1+0j)
"
