,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265],[3.14159265]
1,[-1.32963388  1.59213611],[0.18903433 1.62714988],[1.11449552 1.54173257],[-3.03570146 -1.55155811],[2.25768459 1.54812948],[ 2.11207748 -1.54420468],[ 0.65061607 -1.60498448],[ 1.63091232 -1.54721034],[3.14159265 1.60406399],[-0.6488495   1.56074365]
2,[-1.0426272  -1.53022394  0.54200958],[0.64571516 1.64325737 0.6168785 ],[ 2.94548015 -1.64289888 -2.4055132 ],[-3.03570146 -1.55444613  0.70453479],[1.66530681 1.53561918 2.61373788],[ 1.01636717 -1.55741168  0.60934292],[-0.01776119  1.53754511  0.56405877],[ 2.11049676 -1.4994769   2.48100371],[-2.98487575 -1.53210918  0.48249199],[ 2.25774639 -1.59524598  0.77789144]
3,[-0.53598149 -1.53254373  0.59640119  0.36175349],[ 0.81878817  1.67203893 -2.53584961 -0.35687181],[ 2.96412105  1.36026909 -2.37088198  2.52551663],[-2.13728183 -1.56380557  0.56885733 -0.48767955],[ 0.01121312  1.49922202  2.5902403  -2.64869911],[ 1.01636717 -1.55228232  0.54389364  0.41318364],[-1.1816591   1.50971392 -2.5731279  -0.37460539],[-2.06588934  1.67817161  2.46631899 -2.68789304],[ 1.21268538  1.61489143  0.4451119  -0.53216753],[-0.02193125  1.48272833  0.85212322 -0.4360538 ]
4,[-0.53598149 -1.53179714  0.64743313  0.36349334  0.32858001],[ 1.74545549  1.67851661 -2.54302663  2.82053148 -0.3547863 ],[ 2.96412105  1.13987041 -2.39126246  2.48556863 -0.35137059],[ 2.02756392  1.60505562 -2.54580465 -0.50469461 -2.76224933],[-1.34740789 -1.64921454 -0.62080545 -2.58486429  0.33811897],[ 1.236308   -1.5547771  -2.6616649   0.43353081 -2.70588234],[-1.1816591   1.50719474 -2.59365077 -0.37771689  0.29098062],[-2.06588934  1.68314374  2.54144537 -2.59901804  0.30277209],[ 1.46284723  1.6313338   0.55889063 -0.66501965 -2.6512766 ],[ 1.3283935   1.3952575   1.0509069  -0.52689584 -2.70162324]
5,[ 1.96485114  1.61788219  0.64053075  0.36621609 -2.80467257  0.20591031],[ 0.15311226  1.7046675  -2.57626037 -0.25447648  2.8040879   0.23978848],[-1.35379501 -1.99521682  0.74361181  2.46631653 -0.35202299  0.29406699],[-0.09664353  1.63795017  0.68042219  2.78513132 -2.66805326  0.43385349],[ 1.19269848  1.46293609 -0.63051901 -2.13898796  1.27207929  1.28041162],[-0.07227953 -1.55905071  2.70757803 -0.42527637  1.09627071  1.23708478],[-1.42562155 -1.63553309 -2.61899139 -0.43237312  0.28591926 -2.85876875],[-3.04572972  1.46438651 -2.6727999  -0.5946103  -1.2173025   2.82980792],[-0.41416976 -1.65834613  1.09224263  2.08649188 -2.58468441 -2.1302323 ],[ 1.3283935   1.40388571  1.03520588 -0.59061661 -2.75290828 -0.3375201 ]
6,"[ 1.96485114  1.60898297  0.6461789   0.35109884 -2.78483932  0.26348522
  0.38823601]","[ 1.89663449 -1.39838227 -0.5612403  -2.83166145  0.3154083   1.76810734
  1.74016136]","[-2.02159831  2.7329224   2.45016769 -0.67614474  1.21451488 -1.82733389
  1.27805668]","[ 0.44478862 -1.47206588  2.44677178 -1.94409474  1.14262745  2.01148603
  2.82733891]","[-1.61837645 -0.17020842 -2.24708589  2.11354302  1.82501504 -0.36911167
  1.80292921]","[-0.07227953 -1.56050985  2.6973044  -0.44652282  1.09153326  1.24167522
 -0.27357177]","[-1.03033781  1.45485587  2.08100845  2.75191018 -1.27594529 -1.32321845
 -0.18725725]","[-3.04572972  1.41149322 -2.63992896 -0.5825861  -1.1539703   2.81325228
  0.24559749]","[-0.96955559  1.53836249  0.55678036  2.77453682 -2.56166086  2.38618584
  0.35461766]","[-0.87824075  2.9532894  -1.00355548 -2.61796748 -0.39655822  1.9376377
 -1.36834767]"
7,"[ 1.96485114  1.54252722 -0.88729807 -0.36777574 -2.78054246  1.28835663
 -0.44643552 -1.79700998]","[-0.91270826 -1.39234087 -2.59622077 -0.31661198  1.22361633 -1.36456858
 -1.74453602 -1.74482889]","[ 0.56704643 -0.40927816 -0.68947905  2.46621439  1.21788834 -1.82531675
  1.28825762  0.19454319]","[-0.85416416  1.70592872  0.82490524  0.40508562  1.97906846 -2.00549388
  1.24443577  1.30084314]","[ 0.07475445 -0.177647   -0.91317694  1.11047509  0.25525894 -1.93742397
  1.81195254 -1.85416043]","[-0.30931519  3.12979896  2.62311471  2.67692173 -0.43504306  1.88055345
 -1.28867215 -1.8650704 ]","[-1.03033781  1.45531126  2.04756169  2.76068571 -1.26377157 -1.32472159
 -0.21162149  0.19819042]","[ 2.63611343 -0.18791956  0.45271982 -0.95238075 -2.69352093  1.95928182
  1.88728885  1.8711161 ]","[-1.39056781  3.09364669 -2.57968631 -1.19979746 -0.9006591   2.40890409
  1.98011685 -0.22226219]","[ 0.63976484 -1.77444271 -2.11230072 -0.61624894 -2.76452006  2.72459761
 -2.88299253 -2.86807827]"
8,"[ 2.65107852  0.00495543  0.67096652  0.41916455 -1.20349698  1.22681214
  1.9966363  -0.22557747 -0.22922426]","[-0.91270826 -1.3701465  -2.62027007 -0.33142369  1.22714637 -1.37098142
 -1.76498657 -1.79572031  0.18221499]","[ 2.7792142   0.41065031  2.45034793  2.46691614  1.92336985 -0.2493726
  0.29826785  1.37327197 -1.6540397 ]","[-0.85416416  1.69734536  0.8391671   0.42919621  1.9688704  -2.03575007
  1.27359266  1.30431837  0.25696092]","[-0.79688846  2.94524145 -0.87756941  1.08347114  0.29528421 -1.98778913
  1.84276101  1.25582266 -0.16884391]","[-1.12239943 -0.00513053 -0.52788865 -0.46176727 -0.44515713  1.86907341
 -1.31963236 -1.88140468  0.12866888]","[-2.51789376  0.08097323  2.69597292  1.89236089  0.31297234 -1.79702384
 -0.23982142 -1.80467467  1.77032027]","[-0.52455751  1.81185135 -2.00662574 -0.58468305  2.70000783 -1.16525831
  0.35199282 -1.3001944   2.92878254]","[-2.85095668  0.05836798 -2.61229368  1.20911905 -2.26396864  0.65401156
 -0.41325556 -0.24418689 -1.34429017]","[ 2.50444023  1.72346195 -0.58118985 -0.55364008  1.92475631 -1.16487362
 -1.81431854  1.82929478 -0.20238313]"
9,"[ 0.8173431  -1.54405136 -0.95995963 -0.43679076  0.35023924  1.19004757
 -0.46579725 -1.81187644 -0.36135442  0.2381485 ]","[ 2.20409967 -2.927382   -2.08663248  0.3738872   1.92449221  1.78955252
 -2.94138047 -1.31633691 -0.19767164 -1.72482602]","[ 0.60890482 -1.15173656  0.70909617 -0.67944483 -2.78298444  1.79676407
  1.87292708 -1.76169071 -1.66883745  0.08221565]","[-0.85416416  1.70046766  0.78870743  0.35309978  1.95069532 -2.0304745
  1.18792037  1.32305321  0.28241372 -0.2545704 ]","[-0.79688846  2.96241238 -0.77503383  1.08091227  0.30199941 -1.99564858
  1.9117522   1.30924133 -0.30730357  0.32785783]","[ 2.38701216  1.53010355  1.04587897  2.03230443 -2.04180108  2.85724379
 -1.81349595  1.88654579 -0.14770631 -1.71005804]","[ 2.78619144 -1.49464265 -2.68647873 -0.3258299   1.84763868  0.26453733
  0.22827532 -1.34028094  0.23936194 -1.39807638]","[-1.90147038 -2.93132747  1.20941474  2.13787917  1.12216492 -0.46769965
 -1.14741665  0.27230361 -0.22458794  0.23745086]","[ 0.45780814 -0.07712537  1.06325639 -0.34752008  2.26278076 -2.22576187
  2.0290968   2.91308213  0.20798889  2.98893234]","[-2.75769644 -1.46631197 -2.53975997 -1.01752421 -0.33367356 -1.91053122
 -1.3497649   0.21892904 -1.30681141  1.74460864]"
