,Ham_0,Ham_1,Ham_2,Ham_3,Ham_4,Ham_5,Ham_6,Ham_7,Ham_8,Ham_9
0,-4.470574599,-5.223428694,-3.865517478,-5.089643217,-3.753613435,-4.297932478,-4.881778594,-3.696588739,-4.615765694,-3.989873547
1,-4.734559289,-5.70909199,-4.87147749,-5.420011302,-4.823670899,-4.878266547,-5.829108452,-4.08678856,-5.216297548,-4.515444179
2,-5.555250804,-5.98603066,-4.995036362,-5.573501912,-5.438385171,-5.184102341,-5.939949937,-4.830925878,-4.748593553,-4.715513437
3,-4.756086135,-6.186526592,-5.579337835,-6.233843562,-5.609837256,-5.414660047,-6.393017763,-5.045472002,-5.562708726,-5.259063568
4,-5.207502207,-6.354603091,-5.95754049,-6.450196704,-5.860923424,-5.619024293,-6.559728427,-5.282016288,-5.719931071,-5.546159975
5,-6.02445538,-6.507840044,-6.064968554,-6.559265993,-6.009503779,-5.72255203,-6.850865571,-5.434042938,-5.818806439,-6.052356804
6,-6.351110948,-6.587207541,-6.197271752,-6.677724164,-6.03304699,-5.8721999,-7.265250733,-5.495529939,-5.90407053,-6.238364583
7,-6.559580033,-6.608910385,-6.228945192,-6.749219959,-6.07226898,-5.940504905,-7.52267724,-5.611848819,-5.971781473,-6.526743668
8,-6.664878603,-6.621476257,-6.24309584,-6.229697741,-6.096645532,-5.944791695,-7.704112324,-5.704653876,-6.019846452,-6.570390543
9,-6.799949458,-6.620395101,-6.209175098,-6.445038362,-6.110872724,-6.069174177,-7.82502754,-5.769659203,-6.111805719,-6.598455951
10,-6.828964181,-6.624763922,-6.222123414,-6.922652417,-6.125609133,-6.184788273,-7.85655918,-5.811338128,-6.145865845,-6.649746406
11,-6.84618839,-6.241346784,-5.866145743,-6.847736097,-6.131973272,-6.014246109,-7.826548061,-5.830207589,-5.956503234,-6.66330118
